<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
СОЛЛЕРС;W;13/04/15;000000;414;185130
СОЛЛЕРС;W;20/04/15;000000;412;45440
СОЛЛЕРС;W;27/04/15;000000;412;17550
СОЛЛЕРС;W;04/05/15;000000;430;49500
СОЛЛЕРС;W;11/05/15;000000;445;121280
СОЛЛЕРС;W;18/05/15;000000;461;105960
СОЛЛЕРС;W;25/05/15;000000;484;53950
СОЛЛЕРС;W;01/06/15;000000;420;97360
СОЛЛЕРС;W;08/06/15;000000;422;42430
СОЛЛЕРС;W;15/06/15;000000;432;28990
СОЛЛЕРС;W;22/06/15;000000;440;24380
СОЛЛЕРС;W;29/06/15;000000;417;26540
СОЛЛЕРС;W;06/07/15;000000;409;25590
СОЛЛЕРС;W;13/07/15;000000;399;27950
СОЛЛЕРС;W;20/07/15;000000;356;178350
СОЛЛЕРС;W;27/07/15;000000;365;46020
СОЛЛЕРС;W;03/08/15;000000;396;73190
СОЛЛЕРС;W;10/08/15;000000;400;83350
СОЛЛЕРС;W;17/08/15;000000;390;31680
СОЛЛЕРС;W;24/08/15;000000;398;37630
СОЛЛЕРС;W;31/08/15;000000;425;26270
СОЛЛЕРС;W;07/09/15;000000;459;76200
СОЛЛЕРС;W;14/09/15;000000;491;181180
СОЛЛЕРС;W;21/09/15;000000;419;52280
СОЛЛЕРС;W;28/09/15;000000;437;23610
СОЛЛЕРС;W;05/10/15;000000;439;25330
СОЛЛЕРС;W;12/10/15;000000;436;56530
СОЛЛЕРС;W;19/10/15;000000;467;51320
СОЛЛЕРС;W;26/10/15;000000;452;33430
СОЛЛЕРС;W;02/11/15;000000;444;38670
СОЛЛЕРС;W;09/11/15;000000;404;39810
СОЛЛЕРС;W;16/11/15;000000;425;49550
СОЛЛЕРС;W;23/11/15;000000;425;17140
СОЛЛЕРС;W;30/11/15;000000;426;6360
СОЛЛЕРС;W;07/12/15;000000;411;26030
СОЛЛЕРС;W;14/12/15;000000;407;32230
СОЛЛЕРС;W;21/12/15;000000;400;36440
СОЛЛЕРС;W;28/12/15;000000;402;7760
СОЛЛЕРС;W;04/01/16;000000;399;12120
СОЛЛЕРС;W;11/01/16;000000;383;41190
СОЛЛЕРС;W;18/01/16;000000;411;56250
СОЛЛЕРС;W;25/01/16;000000;423;39440
СОЛЛЕРС;W;01/02/16;000000;406;38910
СОЛЛЕРС;W;08/02/16;000000;408;35740
СОЛЛЕРС;W;15/02/16;000000;396;22020
СОЛЛЕРС;W;22/02/16;000000;402;13780
СОЛЛЕРС;W;29/02/16;000000;406;18240
СОЛЛЕРС;W;07/03/16;000000;406;6630
СОЛЛЕРС;W;14/03/16;000000;411;15910
СОЛЛЕРС;W;21/03/16;000000;408;13110
СОЛЛЕРС;W;28/03/16;000000;409;17040
СОЛЛЕРС;W;04/04/16;000000;416;14110
СОЛЛЕРС;W;11/04/16;000000;453;88410
СОЛЛЕРС;W;18/04/16;000000;458;40340
СОЛЛЕРС;W;25/04/16;000000;430;34750
СОЛЛЕРС;W;02/05/16;000000;418;14650
СОЛЛЕРС;W;09/05/16;000000;438;16850
СОЛЛЕРС;W;16/05/16;000000;441;23610
СОЛЛЕРС;W;23/05/16;000000;447;22990
СОЛЛЕРС;W;30/05/16;000000;438;20520
СОЛЛЕРС;W;06/06/16;000000;455;63760
СОЛЛЕРС;W;13/06/16;000000;430;31090
СОЛЛЕРС;W;20/06/16;000000;424;41250
СОЛЛЕРС;W;27/06/16;000000;433;12020
СОЛЛЕРС;W;04/07/16;000000;437;18090
СОЛЛЕРС;W;11/07/16;000000;440;9170
СОЛЛЕРС;W;18/07/16;000000;444;32400
СОЛЛЕРС;W;25/07/16;000000;433;7300
СОЛЛЕРС;W;01/08/16;000000;440;10740
СОЛЛЕРС;W;08/08/16;000000;448;17660
СОЛЛЕРС;W;15/08/16;000000;445;15400
СОЛЛЕРС;W;22/08/16;000000;458;18640
СОЛЛЕРС;W;29/08/16;000000;479;49720
