;accommodates;bathrooms;bedrooms;cleaning_fee;security_deposit;extra_people;guests_included;distance;size;minimum_nights;Laptop_friendly_workspace;TV;Family_kid_friendly;Host_greets_you;Smoking_allowed;host_has_profile_pic_f;host_has_profile_pic_t;room_type_Entire home/apt;room_type_Private room;room_type_Shared room;bed_type_Airbed;bed_type_Couch;bed_type_Futon;bed_type_Pull-out Sofa;bed_type_Real Bed;instant_bookable_f;instant_bookable_t;is_business_travel_ready_f;cancellation_policy_flexible;cancellation_policy_moderate;cancellation_policy_strict_14_with_grace_period;cancellation_policy_super_strict_30;cancellation_policy_super_strict_60
139769;2;1.0;1.0;0.0;0.0;5.0;1;2.935233131949943;105.0;2;False;True;True;True;False;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0
143605;4;1.0;1.0;40.0;200.0;15.0;2;3.1983998822812225;40.0;30;False;True;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
145249;3;1.0;1.0;40.0;85.0;10.0;1;4.224488223508943;25.0;3;True;True;True;False;False;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0
147946;2;1.0;1.0;0.0;250.0;0.0;1;5.098073818777181;44.7785977211334;183;True;True;False;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
149849;4;1.0;2.0;20.0;100.0;25.0;2;3.0085204700313435;16.0;2;True;True;True;True;True;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0
151249;4;1.0;1.0;80.0;1000.0;20.0;1;1.0842642188704794;70.0;1;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
153015;2;1.0;1.0;20.0;0.0;15.0;2;5.024682536711171;30.0;3;True;False;False;False;True;0;1;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0;0
155048;2;1.0;2.0;80.0;3000.0;100.0;2;4.950487507802074;12.0;180;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
156010;3;1.0;1.0;50.0;120.0;12.0;2;1.9748120949564563;60.0;90;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0
157546;4;1.0;2.0;40.0;0.0;40.0;4;1.5991777703475067;85.0;5;True;False;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
157839;4;1.0;1.0;20.0;100.0;15.0;1;5.224934112057024;40.0;1;True;False;False;False;False;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0
158890;2;1.0;1.0;40.0;1000.0;0.0;6;2.2303181463414083;50.0;10;False;True;False;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
159454;6;1.0;2.0;0.0;1000.0;0.0;1;6.844575089919804;76.67287490123657;2;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0
160517;6;2.0;2.0;65.0;500.0;8.0;2;12.502141946026635;45.0;2;True;True;False;False;False;0;1;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0
161425;5;1.0;2.0;60.0;200.0;25.0;2;4.819800690258004;92.75685772403462;2;True;False;True;True;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0
163287;2;1.0;1.0;20.0;500.0;15.0;1;1.307773272374654;49.44651608046018;150;False;False;False;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
163411;4;1.0;2.0;40.0;200.0;15.0;2;2.2613315544766;85.0;5;True;False;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
167189;2;1.0;1.0;15.0;0.0;0.0;2;2.2932242186324845;10.0;3;True;False;False;False;False;0;1;0;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0
168615;3;1.0;1.0;20.0;0.0;10.0;1;9.086212705271445;50.0;2;False;True;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
169603;4;1.0;1.0;49.0;90.0;20.0;2;5.434293039410478;84.0;1;True;True;False;False;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
169907;2;1.5;1.0;15.0;150.0;0.0;1;6.1973195946750606;47.275645775341054;1;True;False;False;False;False;0;1;0;1;0;0;0;0;0;1;0;1;1;0;1;0;0;0
170582;1;1.0;1.0;0.0;500.0;10.0;1;7.2740242074028165;20.0;5;True;False;False;True;True;0;1;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0;0
170652;2;1.0;1.0;50.0;150.0;20.0;1;4.750948188107759;59.835209134548286;5;True;True;False;True;False;0;1;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0
170974;3;1.0;1.0;30.0;0.0;18.0;2;3.142112117766147;65.0;7;False;False;False;True;False;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0
171746;2;1.0;1.0;50.0;0.0;30.0;2;4.644353201266347;15.0;4;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0
173153;5;2.0;2.0;50.0;300.0;20.0;1;3.093982478647271;95.0;2;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
174391;2;1.0;1.0;10.0;0.0;0.0;1;2.941858822992715;10.0;1;False;False;True;False;True;0;1;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0
174547;3;1.0;2.0;100.0;500.0;30.0;2;1.2133990473476475;40.0;60;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
174560;3;1.0;2.0;30.0;0.0;15.0;2;1.2830251845455538;56.0;60;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
174576;5;1.0;2.0;100.0;500.0;30.0;2;1.0993590551198096;40.0;60;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
174579;3;1.0;2.0;30.0;0.0;15.0;2;1.0402344536323291;73.4129720925303;60;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
175667;2;1.0;1.0;35.0;200.0;10.0;1;4.31002545753539;15.0;60;False;True;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
176342;6;2.0;3.0;98.0;500.0;69.0;4;0.8282693521119638;200.0;1;False;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
176355;6;2.0;2.0;98.0;500.0;69.0;4;0.8957645873398261;200.0;1;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
176396;2;2.0;3.0;20.0;0.0;10.0;1;8.50453140689691;12.0;1;True;False;False;True;False;0;1;0;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0
